Income,Recency,Complain,Response,umur,Tinngal_dengan,anak,pendidikan,Pengeluaran_2thn,kemakan_iklan,tempat_beli
85693.0,59,0,0,45,Partner,1,Graduate,1169,0,27
65846.0,68,0,0,79,Partner,0,Postgraduate,1120,0,16
87195.0,35,0,1,65,Partner,0,Graduate,1097,0,20
24594.0,94,0,0,45,Partner,1,Undergraduate,29,0,5
49096.0,15,0,0,60,Partner,2,Graduate,187,0,13
52413.0,56,0,0,55,Partner,2,Graduate,910,0,26
38557.0,17,0,0,46,Alone,1,Graduate,145,0,9
89058.0,18,0,0,64,Partner,0,Postgraduate,850,0,14
77298.0,46,0,0,45,Partner,1,Graduate,969,0,24
68126.0,40,0,1,33,Alone,0,Postgraduate,1820,1,17
57288.0,27,0,0,61,Partner,1,Postgraduate,608,1,20
86037.0,95,0,1,33,Alone,0,Graduate,730,2,25
43974.0,19,0,0,44,Partner,1,Postgraduate,551,0,21
50785.0,27,0,0,62,Alone,2,Graduate,114,0,8
90765.0,25,0,0,54,Partner,0,Graduate,1724,2,15
36550.0,74,0,0,46,Partner,1,Undergraduate,577,0,20
30753.0,85,0,0,57,Partner,2,Undergraduate,81,0,7
21918.0,37,0,0,55,Partner,1,Graduate,33,0,7
56129.0,65,0,0,71,Partner,1,Postgraduate,660,0,22
32557.0,13,0,1,57,Alone,1,Postgraduate,80,0,9
19510.0,63,0,0,39,Partner,2,Postgraduate,30,0,6
30992.0,83,0,0,48,Alone,1,Graduate,43,0,5
101970.0,69,0,1,41,Alone,0,Graduate,1135,3,27
71488.0,87,0,0,59,Partner,0,Undergraduate,559,0,16
79607.0,37,0,1,40,Alone,0,Graduate,1923,0,16
54348.0,51,0,0,71,Partner,2,Postgraduate,90,0,8
52247.25135379061,23,0,0,63,Partner,1,Postgraduate,404,0,17
77376.0,72,0,0,68,Partner,2,Postgraduate,661,0,23
62998.0,10,0,0,72,Partner,1,Graduate,463,0,19
61331.0,42,0,0,66,Alone,2,Postgraduate,632,0,23
73448.0,10,0,0,55,Partner,0,Graduate,725,0,19
52247.25135379061,96,0,0,61,Partner,1,Graduate,725,0,19
41551.0,51,0,0,60,Partner,2,Postgraduate,279,0,16
62981.0,21,0,0,57,Partner,0,Postgraduate,1482,1,23
9548.0,31,0,0,48,Alone,1,Undergraduate,29,0,6
33762.0,61,0,0,65,Partner,3,Postgraduate,106,0,9
35860.0,37,0,1,51,Alone,2,Postgraduate,49,1,6
36921.0,74,0,0,59,Alone,2,Postgraduate,38,0,7
92859.0,46,0,0,32,Alone,0,Postgraduate,2077,0,22
65104.0,4,0,1,48,Partner,1,Postgraduate,1053,0,17
86111.0,73,0,0,62,Partner,0,Graduate,1385,0,23
68352.0,47,0,0,50,Alone,1,Postgraduate,871,0,25
41883.0,13,0,0,36,Partner,1,Graduate,312,0,12
59809.0,36,0,0,48,Partner,2,Graduate,877,0,15
23957.0,47,0,1,49,Partner,1,Graduate,68,0,6
38547.0,49,1,0,43,Partner,1,Graduate,22,0,4
35688.0,94,0,0,51,Partner,3,Undergraduate,211,0,16
49605.0,65,0,0,58,Partner,0,Postgraduate,127,0,8
59354.0,59,0,0,71,Partner,2,Postgraduate,459,0,16
65747.0,96,0,0,55,Partner,1,Graduate,460,1,19
46344.0,28,0,0,52,Partner,1,Undergraduate,429,0,17
34176.0,12,0,0,36,Alone,1,Graduate,89,0,11
61010.0,57,0,0,72,Partner,1,Postgraduate,1021,0,26
69372.0,10,0,1,75,Partner,0,Graduate,1381,2,21
49967.0,4,0,0,66,Alone,1,Graduate,306,0,15
60199.0,49,0,0,46,Alone,3,Graduate,18,0,4
55375.0,3,0,0,47,Partner,1,Graduate,162,0,9
80317.0,64,0,0,69,Alone,0,Graduate,1231,0,18
30523.0,0,0,0,66,Alone,3,Postgraduate,13,0,4
70356.0,20,0,0,79,Partner,0,Postgraduate,1706,0,27
23228.0,91,0,0,40,Partner,1,Graduate,121,0,11
74165.0,9,0,0,49,Alone,0,Postgraduate,1293,0,20
157243.0,98,0,0,51,Partner,1,Postgraduate,1608,0,37
43482.0,83,0,0,58,Partner,3,Graduate,88,0,9
62551.0,27,0,0,71,Alone,0,Graduate,421,1,18
52332.0,63,0,0,65,Alone,0,Graduate,259,1,12
66951.0,46,0,0,36,Alone,0,Graduate,1117,0,15
26091.0,84,0,0,67,Partner,2,Graduate,89,0,9
33456.0,58,0,0,59,Partner,2,Graduate,36,0,6
28718.0,78,0,0,42,Partner,1,Graduate,57,0,7
50447.0,4,0,0,54,Partner,2,Graduate,148,0,8
53537.0,17,0,0,65,Partner,2,Postgraduate,93,0,8
52074.0,77,0,0,57,Alone,1,Graduate,119,1,7
80427.0,56,0,0,49,Partner,1,Postgraduate,1835,0,28
83837.0,79,0,1,76,Partner,0,Postgraduate,1318,2,25
38853.0,90,0,0,54,Partner,2,Postgraduate,45,0,7
38285.0,96,0,0,65,Partner,3,Graduate,10,0,4
78497.0,44,0,0,73,Partner,0,Undergraduate,978,1,25
51650.0,81,0,0,48,Partner,1,Postgraduate,191,0,10
16248.0,77,0,0,36,Partner,1,Undergraduate,57,0,9
66835.0,21,0,0,78,Partner,0,Postgraduate,1033,0,24
30477.0,16,0,0,40,Partner,1,Postgraduate,66,0,6
28249.0,80,0,0,63,Partner,0,Undergraduate,43,0,6
25271.0,45,0,0,41,Partner,1,Graduate,50,0,5
32303.0,63,0,0,54,Alone,1,Postgraduate,39,0,7
61286.0,34,0,0,58,Partner,1,Graduate,608,0,18
74068.0,14,0,0,48,Partner,0,Graduate,1581,0,24
45759.0,13,0,0,60,Partner,2,Postgraduate,68,0,7
24882.0,52,0,0,46,Partner,1,Undergraduate,80,1,5
66973.0,98,0,0,35,Partner,0,Postgraduate,1282,0,28
36640.0,99,1,0,124,Alone,1,Undergraduate,65,0,6
38872.0,93,0,0,36,Partner,1,Graduate,91,0,8
51148.0,38,0,0,51,Partner,2,Graduate,315,0,16
31353.0,24,0,0,47,Partner,2,Graduate,31,0,6
69661.0,80,0,0,44,Partner,0,Postgraduate,834,0,23
80067.0,82,0,0,70,Partner,0,Graduate,1600,1,17
86718.0,20,0,0,70,Partner,0,Graduate,1270,0,17
46854.0,81,0,1,51,Alone,2,Postgraduate,263,1,15
69142.0,50,0,0,72,Alone,1,Graduate,535,1,19
75922.0,60,0,0,56,Alone,0,Graduate,1295,0,18
63693.0,63,0,0,46,Alone,1,Graduate,1150,0,29
102160.0,54,0,1,47,Partner,0,Postgraduate,1240,3,26
40637.0,72,0,0,59,Alone,2,Postgraduate,38,0,6
18890.0,5,0,1,40,Alone,0,Postgraduate,35,1,4
29604.0,88,0,0,36,Partner,1,Graduate,53,1,5
48721.0,50,0,0,61,Alone,2,Postgraduate,293,0,17
44794.0,99,0,0,58,Partner,1,Graduate,65,0,6
64497.0,17,0,1,70,Alone,1,Graduate,1804,1,29
46097.0,11,0,0,68,Partner,1,Graduate,241,0,15
77972.0,18,0,0,70,Partner,0,Graduate,1101,0,20
44377.0,70,0,0,56,Partner,2,Postgraduate,264,0,19
46014.0,21,0,0,50,Partner,2,Postgraduate,541,0,26
70951.0,66,0,0,39,Partner,0,Graduate,1198,0,17
41443.0,79,0,0,47,Partner,1,Graduate,482,0,20
52195.0,2,0,0,46,Alone,3,Undergraduate,17,0,4
83790.0,81,0,0,76,Partner,0,Postgraduate,1615,2,25
44551.0,24,0,0,70,Alone,1,Postgraduate,285,0,12
69508.0,48,0,0,44,Partner,1,Graduate,1135,0,28
45204.0,93,0,0,36,Partner,1,Undergraduate,114,0,7
72460.0,56,0,0,55,Partner,0,Graduate,1047,0,16
77622.0,3,0,0,54,Partner,2,Postgraduate,714,0,22
30732.0,44,0,0,44,Partner,1,Postgraduate,185,0,13
63887.0,38,0,0,62,Alone,1,Graduate,1245,0,32
42011.0,46,0,0,46,Partner,1,Graduate,189,0,12
51369.0,84,0,0,48,Partner,1,Graduate,576,0,16
51537.0,27,0,0,72,Alone,1,Graduate,1103,0,18
79930.0,72,0,0,52,Partner,0,Postgraduate,1753,0,17
34320.0,66,0,0,38,Partner,1,Postgraduate,17,0,4
37070.0,30,0,1,58,Alone,2,Graduate,433,0,23
81975.0,2,0,0,62,Alone,1,Undergraduate,1588,1,14
38590.0,65,0,0,53,Partner,1,Graduate,22,0,4
15033.0,37,0,0,73,Alone,0,Graduate,19,0,5
62745.0,89,0,0,59,Partner,1,Postgraduate,1117,0,29
22212.0,49,0,0,49,Partner,1,Undergraduate,69,0,8
23661.0,46,0,0,42,Partner,1,Postgraduate,23,0,5
79761.0,32,0,0,66,Alone,1,Postgraduate,605,0,19
7500.0,54,0,0,51,Alone,1,Graduate,57,0,11
60182.0,23,0,0,131,Alone,1,Undergraduate,22,0,4
73455.0,98,0,0,56,Alone,0,Graduate,2088,1,22
64961.0,97,0,0,66,Partner,1,Graduate,1009,0,16
22804.0,75,0,0,53,Alone,1,Graduate,26,0,5
73687.0,8,0,1,34,Partner,0,Graduate,1627,1,22
61074.0,37,0,0,66,Partner,1,Graduate,1102,0,31
31686.0,31,0,0,60,Partner,2,Postgraduate,17,0,6
80134.0,40,0,1,52,Partner,1,Graduate,1690,3,16
75027.0,74,0,0,71,Partner,1,Graduate,1390,0,21
67546.0,90,0,0,36,Partner,0,Postgraduate,2126,0,20
65176.0,57,0,0,55,Partner,1,Postgraduate,1531,0,25
31160.0,59,0,0,49,Alone,1,Postgraduate,64,0,7
29938.0,52,0,0,39,Alone,1,Graduate,26,0,6
102692.0,5,0,1,50,Alone,0,Graduate,1112,4,29
26490.0,92,0,0,66,Partner,0,Undergraduate,210,0,11
75702.0,77,0,0,57,Partner,2,Graduate,1148,0,26
30899.0,35,0,0,50,Alone,1,Postgraduate,33,0,6
63342.0,48,0,0,63,Partner,1,Postgraduate,1101,1,19
45989.0,97,0,0,60,Alone,1,Graduate,322,0,16
18701.0,95,0,0,60,Alone,2,Graduate,44,0,10
40737.0,24,0,0,67,Alone,3,Postgraduate,17,0,4
15287.0,60,0,1,45,Alone,1,Graduate,31,1,6
69674.0,46,0,0,56,Alone,2,Postgraduate,845,0,25
44159.0,85,0,0,54,Partner,1,Postgraduate,275,0,15
37717.0,31,0,0,46,Partner,1,Postgraduate,25,0,4
43776.0,9,0,1,72,Partner,2,Postgraduate,275,0,17
38179.0,30,0,0,58,Partner,2,Postgraduate,90,0,11
80124.0,47,0,0,61,Partner,0,Graduate,1495,1,19
38097.0,70,0,1,54,Partner,2,Postgraduate,184,1,11
72940.0,13,0,0,54,Partner,0,Graduate,981,0,13
22070.0,11,0,0,54,Partner,1,Graduate,67,0,8
69267.0,31,0,1,71,Alone,0,Graduate,1635,0,14
31788.0,15,1,0,41,Alone,1,Postgraduate,60,0,10
61905.0,2,0,0,49,Partner,1,Postgraduate,231,0,12
29315.0,55,0,0,64,Partner,2,Graduate,48,0,10
33378.0,38,0,0,61,Alone,2,Graduate,99,0,9
66313.0,86,0,0,61,Partner,1,Postgraduate,770,0,23
60714.0,56,0,1,68,Alone,0,Graduate,957,0,23
77882.0,29,0,0,43,Partner,0,Postgraduate,818,0,12
69867.0,30,0,1,38,Alone,0,Postgraduate,925,1,17
63841.0,64,0,0,56,Alone,1,Postgraduate,908,0,22
24480.0,46,0,0,43,Partner,1,Undergraduate,102,0,10
51369.0,84,0,0,48,Partner,1,Graduate,576,0,16
37760.0,20,0,0,78,Partner,0,Graduate,317,0,13
65640.0,74,0,0,50,Partner,1,Postgraduate,461,0,15
44319.0,18,0,0,49,Partner,2,Postgraduate,37,0,7
30631.0,75,0,0,50,Partner,1,Graduate,70,0,7
75278.0,17,0,0,72,Partner,0,Graduate,930,0,23
50898.0,88,0,0,68,Partner,2,Postgraduate,859,0,33
79946.0,19,0,0,58,Alone,0,Graduate,1478,0,22
35416.0,62,0,0,75,Alone,0,Postgraduate,390,0,16
32414.0,11,0,0,40,Partner,0,Undergraduate,52,1,5
38361.0,74,0,0,55,Partner,1,Graduate,137,0,10
82497.0,32,0,0,44,Partner,0,Graduate,1919,1,19
16626.0,76,0,0,53,Partner,2,Graduate,68,0,9
29672.0,6,0,0,59,Partner,2,Graduate,25,0,4
55951.0,62,0,0,72,Partner,1,Postgraduate,1374,2,23
35388.0,20,0,0,36,Alone,1,Undergraduate,32,0,5
42386.0,43,0,0,38,Partner,1,Postgraduate,100,0,7
68627.0,45,0,0,42,Alone,0,Graduate,825,0,12
57912.0,34,0,0,59,Alone,1,Postgraduate,916,1,28
35246.0,53,0,0,66,Alone,2,Graduate,62,0,11
58821.0,44,0,0,68,Partner,1,Undergraduate,728,0,21
46377.0,89,0,0,46,Partner,1,Postgraduate,90,0,7
39747.0,43,0,0,36,Alone,1,Graduate,273,0,13
23976.0,68,0,0,40,Partner,1,Graduate,66,0,10
80950.0,44,0,0,63,Partner,0,Postgraduate,1213,1,23
27038.0,64,0,1,58,Alone,0,Graduate,107,0,7
77457.0,85,0,0,77,Alone,0,Graduate,1157,1,18
64100.0,93,0,0,60,Partner,1,Postgraduate,546,1,18
42670.0,12,0,0,32,Partner,0,Postgraduate,241,0,11
12571.0,86,0,0,48,Alone,1,Graduate,53,0,11
22574.0,28,0,0,57,Partner,3,Graduate,37,0,7
52247.25135379061,69,0,0,35,Partner,0,Graduate,1611,2,24
70893.0,42,0,0,48,Alone,0,Postgraduate,1508,0,23
54198.0,13,0,0,58,Partner,2,Graduate,235,0,16
28839.0,86,0,0,68,Partner,2,Postgraduate,32,0,7
40321.0,59,0,0,52,Partner,2,Graduate,102,0,8
66503.0,30,0,0,39,Alone,1,Graduate,401,0,15
30833.0,33,0,0,73,Partner,2,Graduate,28,0,6
52247.25135379061,67,0,0,54,Alone,3,Graduate,1052,2,21
64795.0,23,0,0,53,Partner,1,Graduate,680,0,21
34421.0,81,0,0,50,Partner,1,Graduate,30,0,4
47025.0,6,0,0,59,Alone,2,Postgraduate,20,0,4
64325.0,41,0,0,63,Alone,1,Postgraduate,1307,0,23
40464.0,78,0,0,71,Alone,1,Graduate,630,0,24
62187.0,49,0,0,67,Partner,0,Graduate,1283,0,18
14849.0,39,0,0,48,Alone,1,Postgraduate,65,0,9
27255.0,3,0,0,40,Partner,1,Graduate,37,0,5
54432.0,37,0,0,74,Partner,3,Postgraduate,38,0,5
29999.0,22,0,0,38,Alone,1,Postgraduate,160,0,12
24072.0,79,0,0,41,Alone,1,Graduate,23,0,4
33996.0,46,0,0,35,Alone,0,Postgraduate,71,0,6
66334.0,82,0,1,68,Partner,1,Postgraduate,1161,0,19
35178.0,10,0,1,53,Partner,1,Postgraduate,59,1,5
22010.0,51,0,0,41,Partner,1,Graduate,33,0,7
62204.0,38,0,0,64,Alone,2,Graduate,946,0,22
75693.0,10,0,1,56,Alone,0,Graduate,1442,3,22
30675.0,14,0,0,52,Partner,1,Graduate,62,0,5
83003.0,18,0,1,59,Partner,0,Graduate,1674,1,22
83532.0,36,0,0,125,Partner,0,Postgraduate,1853,1,15
68655.0,95,0,0,36,Alone,0,Graduate,1538,0,21
41411.0,11,0,0,38,Alone,0,Graduate,139,0,8
55212.0,65,0,0,55,Partner,1,Postgraduate,1182,2,20
59292.0,71,0,0,74,Partner,1,Postgraduate,507,0,18
27190.0,13,0,1,51,Partner,1,Undergraduate,18,1,4
82623.0,58,0,0,72,Alone,0,Graduate,940,0,16
44300.0,65,0,0,59,Partner,2,Graduate,42,0,6
84835.0,0,0,1,54,Alone,0,Graduate,1190,0,15
30372.0,33,0,0,53,Alone,2,Graduate,44,0,8
33181.0,90,0,0,48,Partner,1,Postgraduate,16,1,4
71113.0,95,0,0,67,Partner,1,Graduate,835,0,26
71952.0,93,0,0,38,Partner,1,Graduate,1443,2,22
69759.0,38,0,1,58,Alone,0,Postgraduate,1029,0,18
72099.0,18,0,0,50,Partner,0,Graduate,1188,0,18
60000.0,57,0,0,48,Alone,1,Postgraduate,1277,0,24
38643.0,45,1,0,46,Alone,2,Graduate,49,0,7
50737.0,61,0,0,69,Partner,1,Graduate,99,1,7
68462.0,6,0,0,55,Partner,0,Postgraduate,1670,0,15
65073.0,65,1,0,81,Partner,0,Postgraduate,900,0,14
46681.0,52,0,0,76,Partner,2,Postgraduate,425,0,16
78618.0,87,0,0,67,Partner,0,Graduate,2153,1,22
62187.0,38,0,0,55,Alone,1,Postgraduate,636,0,21
28442.0,53,0,0,46,Partner,2,Graduate,57,0,10
37717.0,31,0,0,46,Partner,1,Postgraduate,25,0,4
51479.0,67,0,0,57,Partner,2,Graduate,494,0,22
54803.0,65,0,0,55,Alone,1,Graduate,693,0,19
79530.0,64,0,0,64,Partner,0,Graduate,1348,0,26
31615.0,82,0,0,48,Alone,1,Graduate,51,0,7
72025.0,27,0,0,62,Partner,0,Graduate,1932,0,16
52614.0,63,0,0,49,Alone,1,Postgraduate,990,0,16
35684.0,66,0,0,40,Partner,1,Undergraduate,30,0,5
48178.0,69,0,0,49,Partner,2,Graduate,254,0,16
29548.0,52,0,0,54,Alone,1,Postgraduate,29,1,5
63810.0,45,0,0,58,Alone,1,Graduate,1371,1,23
38578.0,2,0,1,52,Alone,2,Postgraduate,73,0,9
46098.0,86,0,0,49,Alone,2,Postgraduate,120,0,11
22585.0,23,0,1,54,Alone,0,Graduate,81,1,5
30279.0,13,0,0,35,Alone,1,Graduate,37,0,5
66426.0,14,0,0,63,Partner,1,Postgraduate,1377,0,20
30822.0,92,0,0,55,Alone,1,Graduate,51,0,5
33581.0,38,0,0,55,Partner,2,Postgraduate,17,0,4
19986.0,74,0,0,39,Partner,1,Graduate,22,0,4
27421.0,14,0,0,70,Alone,0,Graduate,324,0,14
35688.0,94,0,0,51,Partner,3,Undergraduate,211,0,16
36143.0,33,0,0,43,Alone,1,Postgraduate,19,0,4
10245.0,32,0,0,53,Alone,1,Graduate,41,0,8
43795.0,11,0,1,56,Partner,1,Postgraduate,492,1,17
63381.0,78,0,0,64,Partner,1,Graduate,1005,0,26
38823.0,56,0,0,75,Partner,1,Graduate,114,0,7
83664.0,57,0,0,56,Alone,2,Postgraduate,1173,0,19
90300.0,7,0,0,45,Partner,0,Graduate,1738,1,19
62499.0,0,0,0,45,Partner,1,Postgraduate,222,0,12
74293.0,66,0,0,31,Alone,0,Graduate,1127,0,16
51012.0,86,0,0,78,Partner,0,Postgraduate,209,0,10
70777.0,80,0,0,56,Partner,1,Postgraduate,787,0,23
68682.0,56,0,0,33,Partner,0,Postgraduate,1598,0,24
43824.0,18,0,0,53,Partner,2,Graduate,186,0,12
15345.0,51,0,1,40,Partner,1,Graduate,47,0,6
23442.0,71,0,0,37,Alone,1,Graduate,27,0,5
14515.0,71,0,1,44,Partner,1,Undergraduate,96,0,11
31395.0,80,0,0,68,Alone,2,Undergraduate,64,0,10
75276.0,2,0,0,59,Partner,0,Graduate,1040,0,23
42373.0,83,0,0,50,Alone,2,Graduate,163,0,13
30507.0,29,0,0,64,Partner,0,Graduate,343,0,11
55521.0,11,0,1,69,Alone,3,Postgraduate,446,1,24
48006.0,55,0,0,59,Partner,2,Graduate,41,0,5
27213.0,19,0,1,52,Alone,1,Postgraduate,70,0,9
65808.0,1,0,0,53,Alone,2,Postgraduate,272,0,14
30351.0,19,0,0,50,Partner,1,Postgraduate,46,0,6
50437.0,28,0,0,61,Partner,2,Graduate,490,0,19
23616.0,76,0,1,42,Alone,1,Undergraduate,79,0,8
53858.0,50,0,0,48,Partner,1,Graduate,915,0,17
66465.0,1,0,0,69,Partner,1,Postgraduate,1485,1,35
46923.0,90,0,0,37,Alone,1,Graduate,369,0,16
75072.0,83,0,0,62,Partner,1,Graduate,1073,0,19
75865.0,73,0,0,81,Partner,0,Postgraduate,1242,0,19
19789.0,24,0,0,49,Partner,1,Undergraduate,78,1,9
80134.0,11,0,0,30,Partner,0,Graduate,1378,4,21
91065.0,33,0,1,43,Alone,0,Graduate,1474,2,26
49505.0,4,0,0,53,Partner,2,Postgraduate,751,0,29
37401.0,14,0,0,51,Partner,1,Postgraduate,48,0,7
30096.0,30,0,0,41,Partner,1,Graduate,45,0,6
18492.0,75,0,0,42,Partner,1,Postgraduate,10,0,4
82584.0,26,0,1,50,Partner,0,Postgraduate,1435,2,16
93027.0,77,0,0,83,Partner,0,Postgraduate,2119,1,22
48686.0,8,0,0,71,Partner,3,Graduate,20,0,4
92910.0,42,0,0,38,Partner,0,Graduate,1795,3,27
75433.0,28,0,0,35,Partner,1,Graduate,1188,2,19
10404.0,52,0,0,35,Partner,1,Undergraduate,43,0,7
61314.0,1,0,0,56,Partner,1,Graduate,1008,0,24
84865.0,1,0,1,63,Alone,0,Postgraduate,1688,4,16
42387.0,42,0,0,35,Partner,1,Graduate,684,0,21
67309.0,76,0,0,57,Partner,2,Undergraduate,1082,0,39
75236.0,27,0,0,60,Partner,1,Graduate,1068,0,25
30015.0,28,0,0,54,Alone,1,Graduate,57,0,7
50943.0,49,0,0,68,Partner,1,Postgraduate,46,0,5
67272.0,12,0,0,58,Alone,1,Graduate,733,0,23
51529.0,14,0,0,75,Alone,1,Postgraduate,467,0,17
32011.0,89,0,0,53,Partner,1,Postgraduate,122,0,10
7500.0,96,0,0,38,Partner,1,Undergraduate,36,0,7
28691.0,56,0,0,35,Partner,1,Graduate,34,0,5
56223.0,72,0,0,76,Partner,1,Postgraduate,156,0,10
